@Relation data

@Attribute state {KS,CA,NH,OR,TX,PR,NV,KY,OH,GU,NY,HI,NM,IN,MS,DC,NE,WV,MO,FL,ME,AR,CT,WI,NC,RI,OK,ID,GA,MN,PA,AK,MD,LA,MT,IL,TN,NJ,WA,MI,MA,AL,UT,VT,CO,SC,VI,VA,DE,AZ}
@Attribute spending REAL
@Attribute purchases REAL

@Data
CA,6106.87,191
CA,11524.46,151
HI,21.04,3
CA,109873.16,550
GA,8663.19999999999,306
NY,52987.73,411
NJ,10473.56,335
LA,2588.1,13
MD,495.46,44
NJ,26944.7000000001,397
NY,26442.08,756
CA,47435.06,708
CO,89309.5,306
TX,4894.16,168
MD,635.89,27
VA,40958.23,505
LA,20116.06,369
NC,52500.05,485
WI,12228.28,452
TX,19880.41,309
MA,30460.75,433
VA,25344.59,525
OH,8040.34,222
IN,7.17,3
MI,3709.71,118
FL,202.08,7
MD,45232.41,491
MD,42025.14,73
MD,14486.41,432
NY,12320.45,528
GA,12140.65,288
CA,6654.70999999999,297
AZ,6611.87,255
LA,15946.84,404
MD,10699.11,296
TX,18671.52,339
FL,32108.57,562
NC,25619.71,419
NY,14879.57,166
NY,13713.93,451
GA,10188.15,224
MD,4309.22,58
NY,6114.59,214
CA,243.25,1
WI,19539.72,274
MD,5322.21,269
MD,13478.69,418
MD,35272.75,198
NC,2798.69,74
MD,28638.92,239
NC,3693.71,68
PA,2972.58,51
CA,143.27,10
NJ,12629.42,463
IN,625.85,67
SC,14025.57,317
VA,676.74,39
AZ,19958.34,357
CA,23555.9,577
GU,15067.63,322
MD,1534.77,113
WA,22749.24,371
SC,21849.97,484
IL,12726.26,473
VA,1707.46,68
TX,81271.84,715
LA,3357.26,80
NY,63792.64,157
TX,9348.9,105
GA,47852.11,1201
MD,32883.32,429
MD,11433.54,208
TX,25404.17,333
TX,5431.08,167
MD,7642.69,53
NC,1469.49,57
DC,11790.59,187
MD,56817.94,688
MI,37369.08,673
VA,9133.38,201
MI,4229.45,99
CO,26497.08,153
NJ,3043.68,157
MD,27225.12,297
WA,25724.82,247
VA,1453.74,36
